Case_ID,Created_Date,Assigned_Date,Resolved_Date,Case_Type,Priority,Assigned_Team,Assigned_Analyst,Routing_Method,Reassignment_Count,Current_Status,SLA_Target_Hours,SLA_Met,Root_Cause,Reopened_Flag,Customer_Segment,Documentation_Gap,Policy_Exception,Historical_Rework_Risk,Estimated_Work_Hours,Assignment_Lag_Hours,Resolution_Hours,Handling_Hours,SLA_Met_Calculated,SLA_Breach_Hours,Score_Case_Type,Score_Priority,Score_Documentation_Gap,Score_Policy_Exception,Score_Rework_Risk,Complexity_Score,Complexity_Band
CS-2026-013880,2026-05-18 07:30:00,2026-05-18 12:05:00,2026-05-21 01:06:00,Coverage Termination,Standard,TEAM-01,AN-005,Manual Triage,0.0,Resolved,96,Yes,Missing documentation,No,Small Group,No,No,No,6.38,4.58,65.6,61.02,Yes,,30,11,0,0,0,41,Moderate
CS-2026-010446,2026-06-30 16:45:00,2026-06-30 19:45:00,,Claims Dispute,Low,TEAM-02,AN-010,Manual Triage,1.0,Pending Information,72,,,No,Individual,No,No,No,11.36,3.0,,,,,26,5,0,0,0,31,Moderate
CS-2026-002622,2026-01-02 11:15:00,2026-01-02 13:11:00,2026-01-05 00:47:00,Benefits Inquiry,Low,TEAM-01,AN-007,Auto-Routed,0.0,Resolved,48,No,Incorrect initial routing,No,Small Group,No,No,No,4.76,1.93,61.53,59.6,No,13.53,13,5,0,0,0,18,Low
CS-2026-008300,2026-04-25 09:45:00,2026-04-25 13:46:00,2026-04-26 17:18:00,Enrollment Change,High,TEAM-03,AN-018,Manual Triage,0.0,Resolved,24,No,Complex eligibility,No,Individual,No,No,No,3.21,4.02,31.55,27.53,No,7.55,9,19,0,0,0,28,Low
CS-2026-005100,2026-03-24 07:45:00,2026-03-24 11:57:00,2026-03-26 07:20:00,Claims Dispute,High,TEAM-02,AN-013,Manual Triage,0.0,Resolved,72,Yes,External party delay,No,Small Group,No,No,No,4.35,4.2,47.58,43.38,Yes,,26,19,0,0,0,45,Moderate
CS-2026-009892,2026-03-03 07:00:00,2026-03-03 07:32:00,2026-03-04 22:41:00,Benefits Inquiry,Low,TEAM-01,AN-009,Auto-Routed,0.0,Resolved,48,Yes,Not Recorded,No,Small Group,Yes,No,No,3.4,0.53,39.68,39.15,Yes,,13,5,20,0,0,38,Moderate
CS-2026-010469,2026-06-23 15:30:00,2026-06-23 21:49:00,2026-06-25 21:13:00,Benefits Inquiry,Standard,TEAM-01,AN-008,Manual Triage,0.0,Resolved,48,No,Missing documentation,No,Mid-Market,Yes,Yes,No,4.22,6.32,53.72,47.4,No,5.72,13,11,20,15,0,59,High
CS-2026-003973,2026-03-04 17:30:00,2026-03-04 20:59:00,2026-03-09 00:23:00,Claims Dispute,Standard,TEAM-02,AN-016,Manual Triage,0.0,Resolved,72,No,Missing documentation,No,Small Group,Yes,No,No,9.67,3.48,102.88,99.4,No,30.88,26,11,20,0,0,57,High
CS-2026-002021,2026-06-28 11:45:00,2026-06-28 11:49:00,2026-06-30 17:44:00,Enrollment Change,Standard,TEAM-03,AN-021,Auto-Routed,0.0,Resolved,24,No,Missing documentation,No,Small Group,Yes,Yes,No,4.9,0.07,53.98,53.92,No,29.98,9,11,20,15,0,55,High
CS-2026-001599,2026-04-05 12:30:00,2026-04-05 18:32:00,2026-04-06 19:54:00,Benefits Inquiry,Standard,TEAM-01,AN-006,Analyst Self-Select,0.0,Resolved,48,Yes,Incorrect initial routing,No,Small Group,No,No,No,3.66,6.03,31.4,25.37,Yes,,13,11,0,0,0,24,Low
CS-2026-009444,2026-04-09 10:00:00,2026-04-09 11:35:00,2026-04-10 13:26:00,Billing Correction,High,TEAM-05,AN-030,Auto-Routed,0.0,Resolved,72,Yes,System data gap,No,Individual,No,No,No,3.88,1.58,27.43,25.85,Yes,,17,19,0,0,0,36,Moderate
CS-2026-012115,2026-02-16 13:15:00,2026-02-16 21:22:00,2026-02-17 20:23:00,Benefits Inquiry,Standard,TEAM-01,AN-007,Analyst Self-Select,0.0,Resolved,48,Yes,System data gap,No,Mid-Market,No,No,No,2.59,8.12,31.13,23.02,Yes,,13,11,0,0,0,24,Low
CS-2026-006510,2026-03-01 13:00:00,2026-03-01 14:08:00,2026-03-02 09:33:00,Benefits Inquiry,Urgent,TEAM-01,AN-007,Auto-Routed,0.0,Resolved,48,Yes,No issue identified,No,Enterprise,No,No,No,3.17,1.13,20.55,19.42,Yes,,13,25,0,0,0,38,Moderate
CS-2026-012370,2026-04-28 09:00:00,2026-04-28 11:39:00,2026-05-02 19:27:00,Coverage Termination,Standard,TEAM-01,AN-006,Manual Triage,0.0,Resolved,96,No,Policy exception required,No,Small Group,No,Yes,No,14.01,2.65,106.45,103.8,No,10.45,30,11,0,15,0,56,High
CS-2026-008085,2026-04-29 15:45:00,2026-04-29 20:40:00,2026-05-02 00:07:00,Claims Dispute,High,TEAM-05,AN-035,Analyst Self-Select,0.0,Resolved,72,Yes,System data gap,No,Small Group,No,No,No,5.52,4.92,56.37,51.45,Yes,,26,19,0,0,0,45,Moderate
CS-2026-002815,2026-01-10 12:00:00,2026-01-10 12:20:00,2026-01-15 00:00:00,Billing Correction,Standard,TEAM-05,AN-032,Auto-Routed,1.0,Resolved,72,No,Missing documentation,No,Individual,Yes,No,No,10.83,0.33,108.0,107.67,No,36.0,17,11,20,0,0,48,Moderate
CS-2026-013090,2026-03-29 08:15:00,2026-03-29 09:24:00,2026-03-29 13:08:00,Enrollment Change,Urgent,TEAM-03,AN-017,Auto-Routed,0.0,Resolved,24,Yes,Incorrect initial routing,No,Enterprise,No,No,No,1.79,1.15,4.88,3.73,Yes,,9,25,0,0,0,34,Moderate
CS-2026-008134,2026-02-09 09:00:00,2026-02-09 16:03:00,2026-02-11 01:49:00,Billing Correction,Low,TEAM-05,AN-028,Analyst Self-Select,0.0,Resolved,72,Yes,No issue identified,No,Enterprise,No,No,No,3.46,7.05,40.82,33.77,Yes,,17,5,0,0,0,22,Low
CS-2026-008344,2026-03-09 12:15:00,2026-03-09 12:23:00,2026-03-10 04:21:00,Benefits Inquiry,Standard,TEAM-01,AN-005,Auto-Routed,0.0,Resolved,48,Yes,No issue identified,No,Small Group,No,No,No,3.86,0.13,16.1,15.97,Yes,,13,11,0,0,0,24,Low
CS-2026-005975,2026-04-28 10:15:00,2026-04-28 11:03:00,2026-04-30 17:22:00,Billing Correction,Standard,TEAM-05,AN-028,Auto-Routed,0.0,Resolved,72,Yes,External party delay,No,Individual,No,No,No,4.51,0.8,55.12,54.32,Yes,,17,11,0,0,0,28,Low
CS-2026-003071,2026-03-09 13:45:00,2026-03-09 14:59:00,2026-03-10 18:52:00,Benefits Inquiry,High,TEAM-01,AN-008,Manual Triage,0.0,Resolved,48,Yes,Missing documentation,No,Individual,Yes,No,No,4.73,1.23,29.12,27.88,Yes,,13,19,20,0,0,52,Moderate
CS-2026-002135,2026-04-09 15:45:00,2026-04-09 17:20:00,2026-04-10 11:27:00,Enrollment Change,Standard,TEAM-03,AN-019,Auto-Routed,0.0,Resolved,24,Yes,Missing documentation,No,Individual,No,No,No,2.5,1.58,19.7,18.12,Yes,,9,11,0,0,0,20,Low
CS-2026-002252,2026-02-23 08:00:00,2026-02-23 09:34:00,2026-02-24 04:20:00,Enrollment Change,Standard,TEAM-03,AN-019,Auto-Routed,0.0,Resolved,24,Yes,No issue identified,No,Enterprise,No,No,No,2.58,1.57,20.33,18.77,Yes,,9,11,0,0,0,20,Low
CS-2026-002707,2026-06-02 12:00:00,2026-06-02 13:09:00,2026-06-04 10:20:00,Benefits Inquiry,Low,TEAM-04,AN-027,Auto-Routed,0.0,Resolved,48,Yes,No issue identified,No,Individual,No,No,No,2.4,1.15,46.33,45.18,Yes,,13,5,0,0,0,18,Low
CS-2026-000347,2026-06-01 13:00:00,2026-06-01 16:35:00,2026-06-06 18:51:00,Claims Dispute,Standard,TEAM-02,AN-014,Manual Triage,0.0,Resolved,72,No,External party delay,No,Enterprise,No,No,No,9.96,3.58,125.85,122.27,No,53.85,26,11,0,0,0,37,Moderate
CS-2026-012969,2026-05-11 11:15:00,2026-05-11 11:23:00,2026-05-13 05:14:00,Enrollment Change,Standard,TEAM-03,AN-017,Auto-Routed,1.0,Resolved,24,No,Policy exception required,No,Enterprise,Yes,Yes,No,5.61,0.13,41.98,41.85,No,17.98,9,11,20,15,0,55,High
CS-2026-015335,2026-04-30 07:45:00,2026-04-30 10:01:00,2026-05-08 03:38:00,Authorization Review,Standard,TEAM-04,AN-026,Auto-Routed,1.0,Resolved,48,No,Incorrect initial routing,Yes,Enterprise,Yes,No,Yes,10.23,2.27,187.88,185.62,No,139.88,22,11,20,0,10,63,High
CS-2026-003201,2026-05-30 09:00:00,2026-05-30 10:55:00,2026-06-01 19:52:00,Authorization Review,Standard,TEAM-04,AN-024,Manual Triage,0.0,Resolved,48,No,No issue identified,No,Enterprise,No,Yes,No,8.51,1.92,58.87,56.95,No,10.87,22,11,0,15,0,48,Moderate
CS-2026-014450,2026-02-24 12:00:00,2026-02-24 14:57:00,2026-02-25 06:29:00,Benefits Inquiry,Standard,TEAM-01,AN-004,Analyst Self-Select,0.0,Resolved,48,Yes,Complex eligibility,No,Small Group,No,No,No,3.03,2.95,18.48,15.53,Yes,,13,11,0,0,0,24,Low
CS-2026-009514,2026-04-18 11:30:00,2026-04-18 15:02:00,2026-04-20 18:24:00,Authorization Review,Low,TEAM-04,AN-023,Manual Triage,0.0,Resolved,48,No,External party delay,No,Enterprise,No,No,No,3.81,3.53,54.9,51.37,No,6.9,22,5,0,0,0,27,Low
CS-2026-000980,2026-02-21 11:45:00,2026-02-21 13:26:00,2026-02-22 13:57:00,Enrollment Change,Low,TEAM-03,AN-020,Auto-Routed,0.0,Resolved,24,No,Not Recorded,No,Mid-Market,No,No,No,2.68,1.68,26.2,24.52,No,2.2,9,5,0,0,0,14,Low
CS-2026-002425,2026-01-12 12:30:00,2026-01-12 15:52:00,2026-01-13 08:00:00,Benefits Inquiry,High,TEAM-01,AN-001,Manual Triage,0.0,Resolved,48,Yes,Complex eligibility,No,Individual,No,Yes,No,5.15,3.37,19.5,16.13,Yes,,13,19,0,15,0,47,Moderate
CS-2026-014077,2026-03-15 16:15:00,2026-03-15 18:18:00,2026-03-16 21:11:00,Authorization Review,Standard,TEAM-03,AN-017,Auto-Routed,0.0,Resolved,48,Yes,Complex eligibility,Yes,Small Group,No,No,Yes,4.55,2.05,28.93,26.88,Yes,,22,11,0,0,10,43,Moderate
CS-2026-008930,2026-05-01 15:30:00,2026-05-01 18:48:00,2026-05-03 03:12:00,Enrollment Change,High,TEAM-03,AN-018,Manual Triage,1.0,Resolved,24,No,No issue identified,No,Small Group,No,Yes,No,6.59,3.3,35.7,32.4,No,11.7,9,19,0,15,0,43,Moderate
CS-2026-010149,2026-03-02 14:30:00,2026-03-02 17:48:00,2026-03-04 05:52:00,Claims Dispute,Standard,TEAM-02,AN-014,Auto-Routed,0.0,Resolved,72,Yes,Incorrect initial routing,No,Small Group,No,No,Yes,7.0,3.3,39.37,36.07,Yes,,26,11,0,0,10,47,Moderate
CS-2026-009562,2026-02-03 17:45:00,2026-02-03 21:30:00,2026-02-04 16:40:00,Billing Correction,High,TEAM-05,AN-030,Manual Triage,0.0,Resolved,72,Yes,External party delay,No,Small Group,No,No,Yes,3.9,3.75,22.92,19.17,Yes,,17,19,0,0,10,46,Moderate
CS-2026-012846,2026-01-25 08:45:00,2026-01-25 16:11:00,2026-01-28 07:48:00,Enrollment Change,Low,TEAM-04,AN-025,Analyst Self-Select,0.0,Resolved,24,No,Missing documentation,No,Small Group,Yes,No,No,3.39,7.43,71.05,63.62,No,47.05,9,5,20,0,0,34,Moderate
CS-2026-004155,2026-05-17 09:45:00,2026-05-17 12:15:00,2026-05-20 00:56:00,Billing Correction,Standard,TEAM-05,AN-032,Analyst Self-Select,0.0,Resolved,72,Yes,Missing documentation,No,Small Group,No,No,No,6.14,2.5,63.18,60.68,Yes,,17,11,0,0,0,28,Low
CS-2026-003949,2026-02-21 13:30:00,2026-02-21 13:55:00,2026-02-23 15:18:00,Benefits Inquiry,High,TEAM-04,AN-023,Auto-Routed,1.0,Resolved,48,No,Missing documentation,No,Mid-Market,No,No,No,4.66,0.42,49.8,49.38,No,1.8,13,19,0,0,0,32,Moderate
CS-2026-015006,2026-03-27 10:00:00,2026-03-27 11:32:00,2026-03-29 09:52:00,Claims Dispute,High,TEAM-02,AN-016,Auto-Routed,0.0,Resolved,72,Yes,Policy exception required,No,Enterprise,Yes,Yes,No,8.99,1.53,47.87,46.33,Yes,,26,19,20,15,0,80,Critical
CS-2026-002932,2026-05-14 09:15:00,2026-05-14 10:06:00,2026-05-16 06:28:00,Claims Dispute,Low,TEAM-02,AN-015,Auto-Routed,0.0,Resolved,72,Yes,External party delay,No,Small Group,No,No,No,5.35,0.85,45.22,44.37,Yes,,26,5,0,0,0,31,Moderate
CS-2026-003253,2026-03-18 17:15:00,2026-03-18 17:32:00,2026-03-22 11:23:00,Claims Dispute,Standard,TEAM-03,AN-017,Auto-Routed,0.0,Resolved,72,No,Missing documentation,No,Individual,Yes,No,Yes,8.42,0.28,90.13,89.85,No,18.13,26,11,20,0,10,67,High
CS-2026-015623,2026-01-27 11:15:00,2026-01-27 13:12:00,2026-01-28 11:58:00,Enrollment Change,Low,TEAM-03,AN-017,Auto-Routed,0.0,Resolved,24,No,Policy exception required,No,Enterprise,No,Yes,No,3.69,1.95,24.72,22.77,No,0.72,9,5,0,15,0,29,Low
CS-2026-009293,2026-06-18 15:45:00,2026-06-18 18:51:00,2026-06-21 19:04:00,Billing Correction,High,TEAM-05,AN-032,Auto-Routed,0.0,Resolved,72,No,Missing documentation,No,Individual,Yes,Yes,No,11.27,3.1,75.32,72.22,No,3.32,17,19,20,15,0,71,High
CS-2026-002107,2026-02-04 13:00:00,2026-02-04 15:15:00,2026-02-06 23:50:00,Authorization Review,High,TEAM-04,AN-023,Manual Triage,0.0,Resolved,48,No,External party delay,No,Small Group,No,No,No,5.13,2.25,58.83,56.58,No,10.83,22,19,0,0,0,41,Moderate
CS-2026-005628,2026-03-06 12:30:00,2026-03-06 13:34:00,2026-03-07 08:59:00,Enrollment Change,High,TEAM-03,AN-018,Auto-Routed,0.0,Resolved,24,Yes,Policy exception required,No,Mid-Market,No,Yes,No,5.49,1.07,20.48,19.42,Yes,,9,19,0,15,0,43,Moderate
CS-2026-003016,2026-06-29 16:30:00,2026-06-29 16:46:00,,Coverage Termination,Low,TEAM-01,AN-006,Auto-Routed,0.0,In Progress,96,,,No,Small Group,No,No,No,9.75,0.27,,,,,30,5,0,0,0,35,Moderate
CS-2026-002669,2026-06-20 14:30:00,2026-06-20 14:39:00,2026-06-22 02:19:00,Coverage Termination,Standard,TEAM-01,AN-007,Manual Triage,0.0,Resolved,96,Yes,Policy exception required,No,Individual,Yes,No,Yes,11.09,0.15,35.82,35.67,Yes,,30,11,20,0,10,71,High
CS-2026-010969,2026-04-03 16:45:00,2026-04-03 23:29:00,2026-04-06 02:45:00,Coverage Termination,Standard,TEAM-01,AN-004,Analyst Self-Select,0.0,Resolved,96,Yes,Missing documentation,No,Individual,Yes,No,No,10.72,6.73,58.0,51.27,Yes,,30,11,20,0,0,61,High
CS-2026-005723,2026-06-05 12:45:00,2026-06-05 12:54:00,2026-06-07 04:17:00,Benefits Inquiry,Standard,TEAM-01,AN-009,Auto-Routed,0.0,Resolved,48,Yes,Policy exception required,No,Small Group,No,Yes,No,4.12,0.15,39.53,39.38,Yes,,13,11,0,15,0,39,Moderate
CS-2026-001708,2026-02-23 10:15:00,2026-02-23 10:40:00,2026-02-24 10:47:00,Billing Correction,High,TEAM-05,AN-031,Auto-Routed,0.0,Resolved,72,Yes,Complex eligibility,No,Individual,No,No,No,3.77,0.42,24.53,24.12,Yes,,17,19,0,0,0,36,Moderate
CS-2026-006431,2026-04-12 14:30:00,2026-04-12 16:09:00,2026-04-13 19:53:00,Enrollment Change,High,TEAM-01,AN-008,Auto-Routed,1.0,Resolved,24,No,Incorrect initial routing,Yes,Enterprise,No,No,No,4.27,1.65,29.38,27.73,No,5.38,9,19,0,0,0,28,Low
CS-2026-015012,2026-05-27 13:00:00,2026-05-27 13:59:00,2026-05-28 15:51:00,Claims Dispute,Standard,TEAM-02,AN-016,Auto-Routed,0.0,Resolved,72,Yes,No issue identified,No,Enterprise,No,No,No,6.22,0.98,26.85,25.87,Yes,,26,11,0,0,0,37,Moderate
CS-2026-008486,2026-05-18 16:45:00,2026-05-18 17:21:00,2026-05-22 17:05:00,Coverage Termination,Standard,TEAM-01,AN-002,Auto-Routed,0.0,Resolved,96,No,Policy exception required,No,Mid-Market,No,Yes,No,13.91,0.6,96.33,95.73,No,0.33,30,11,0,15,0,56,High
CS-2026-006459,2026-01-27 16:45:00,2026-01-27 17:47:00,2026-01-29 22:35:00,Claims Dispute,Urgent,TEAM-02,AN-010,Manual Triage,0.0,Resolved,72,Yes,No issue identified,No,Individual,Yes,No,No,14.2,1.03,53.83,52.8,Yes,,26,25,20,0,0,71,High
CS-2026-015998,2026-04-13 12:00:00,2026-04-13 12:24:00,2026-04-15 17:09:00,Claims Dispute,Standard,TEAM-01,AN-003,Auto-Routed,0.0,Resolved,72,Yes,Missing documentation,No,Individual,Yes,No,No,6.92,0.4,53.15,52.75,Yes,,26,11,20,0,0,57,High
CS-2026-010636,2026-04-16 09:00:00,2026-04-16 12:40:00,2026-04-17 17:23:00,Claims Dispute,Standard,TEAM-02,AN-016,Manual Triage,0.0,Resolved,72,Yes,External party delay,Yes,Small Group,No,No,No,6.66,3.67,32.38,28.72,Yes,,26,11,0,0,0,37,Moderate
CS-2026-000098,2026-02-13 15:30:00,2026-02-13 16:25:00,2026-02-14 21:20:00,Billing Correction,High,TEAM-05,AN-032,Auto-Routed,0.0,Resolved,72,Yes,No issue identified,No,Small Group,No,No,No,4.22,0.92,29.83,28.92,Yes,,17,19,0,0,0,36,Moderate
CS-2026-004924,2026-03-27 15:00:00,2026-03-27 17:36:00,2026-03-31 17:02:00,Benefits Inquiry,Standard,TEAM-01,AN-001,Auto-Routed,1.0,Resolved,48,No,Policy exception required,No,Mid-Market,Yes,No,No,7.82,2.6,98.03,95.43,No,50.03,13,11,20,0,0,44,Moderate
CS-2026-005816,2026-06-30 13:30:00,2026-06-30 13:54:00,,Claims Dispute,Standard,TEAM-03,AN-022,Auto-Routed,1.0,In Progress,72,,,No,Small Group,No,No,No,9.19,0.4,,,,,26,11,0,0,0,37,Moderate
CS-2026-010406,2026-05-02 08:45:00,2026-05-02 09:14:00,2026-05-04 15:54:00,Claims Dispute,High,TEAM-03,AN-018,Auto-Routed,1.0,Resolved,72,Yes,Incorrect initial routing,Yes,Small Group,No,No,No,8.16,0.48,55.15,54.67,Yes,,26,19,0,0,0,45,Moderate
CS-2026-012589,2026-03-29 16:15:00,2026-03-29 16:57:00,2026-03-31 17:47:00,Benefits Inquiry,Standard,TEAM-01,AN-001,Auto-Routed,0.0,Resolved,48,No,No issue identified,No,Enterprise,No,No,No,5.56,0.7,49.53,48.83,No,1.53,13,11,0,0,0,24,Low
CS-2026-005125,2026-03-23 07:30:00,2026-03-23 08:48:00,2026-03-23 15:56:00,Benefits Inquiry,Urgent,TEAM-01,AN-001,Auto-Routed,0.0,Resolved,48,Yes,Policy exception required,No,Small Group,No,No,No,3.92,1.3,8.43,7.13,Yes,,13,25,0,0,0,38,Moderate
CS-2026-015258,2026-06-10 15:00:00,2026-06-10 16:23:00,2026-06-12 12:40:00,Coverage Termination,High,TEAM-01,AN-005,Auto-Routed,0.0,Resolved,96,Yes,External party delay,No,Small Group,No,No,No,8.91,1.38,45.67,44.28,Yes,,30,19,0,0,0,49,Moderate
CS-2026-004696,2026-06-13 16:15:00,2026-06-13 18:34:00,2026-06-14 16:18:00,Coverage Termination,Urgent,TEAM-01,AN-004,Auto-Routed,1.0,Resolved,96,Yes,No issue identified,No,Small Group,No,No,No,9.03,2.32,24.05,21.73,Yes,,30,25,0,0,0,55,High
CS-2026-001473,2026-06-13 09:45:00,2026-06-13 15:06:00,2026-06-15 08:31:00,Claims Dispute,Standard,TEAM-02,AN-015,Manual Triage,0.0,Resolved,72,Yes,No issue identified,No,Enterprise,No,No,Yes,6.45,5.35,46.77,41.42,Yes,,26,11,0,0,10,47,Moderate
CS-2026-013890,2026-05-15 17:15:00,2026-05-15 22:48:00,2026-05-18 03:22:00,Claims Dispute,High,TEAM-02,AN-014,Analyst Self-Select,0.0,Resolved,72,Yes,Missing documentation,No,Mid-Market,Yes,No,No,7.95,5.55,58.12,52.57,Yes,,26,19,20,0,0,65,High
CS-2026-014393,2026-03-02 17:45:00,2026-03-02 18:31:00,2026-03-03 15:32:00,Benefits Inquiry,Standard,TEAM-01,AN-003,Auto-Routed,0.0,Resolved,48,Yes,System data gap,No,Individual,No,No,No,3.34,0.77,21.78,21.02,Yes,,13,11,0,0,0,24,Low
CS-2026-003602,2026-05-10 12:15:00,2026-05-10 16:09:00,2026-05-11 16:50:00,Billing Correction,Standard,TEAM-05,AN-035,Manual Triage,0.0,Resolved,72,Yes,Incorrect initial routing,No,Small Group,No,No,No,4.37,3.9,28.58,24.68,Yes,,17,11,0,0,0,28,Low
CS-2026-004486,2026-02-22 12:45:00,2026-02-22 15:32:00,2026-02-23 10:15:00,Enrollment Change,Standard,TEAM-03,AN-019,Manual Triage,0.0,Resolved,24,Yes,Incorrect initial routing,No,Enterprise,No,No,No,3.25,2.78,21.5,18.72,Yes,,9,11,0,0,0,20,Low
CS-2026-008690,2026-06-11 07:45:00,2026-06-11 09:58:00,2026-06-11 21:01:00,Enrollment Change,Standard,TEAM-03,AN-020,Manual Triage,0.0,Resolved,24,Yes,Policy exception required,No,Enterprise,No,No,Yes,1.97,2.22,13.27,11.05,Yes,,9,11,0,0,10,30,Moderate
CS-2026-015011,2026-03-30 10:45:00,2026-03-30 10:48:00,2026-04-02 08:13:00,Authorization Review,High,TEAM-04,AN-027,Auto-Routed,1.0,Resolved,48,No,Incorrect initial routing,No,Enterprise,No,No,No,6.83,0.05,69.47,69.42,No,21.47,22,19,0,0,0,41,Moderate
CS-2026-001429,2026-06-01 08:00:00,2026-06-01 08:26:00,2026-06-01 20:54:00,Enrollment Change,Standard,TEAM-03,AN-017,Auto-Routed,1.0,Resolved,24,Yes,External party delay,No,Mid-Market,No,No,Yes,4.47,0.43,12.9,12.47,Yes,,9,11,0,0,10,30,Moderate
CS-2026-005892,2026-01-04 11:30:00,2026-01-04 14:09:00,2026-01-07 02:31:00,Coverage Termination,Low,TEAM-01,AN-007,Manual Triage,0.0,Resolved,96,Yes,Policy exception required,No,Small Group,No,Yes,No,7.55,2.65,63.02,60.37,Yes,,30,5,0,15,0,50,Moderate
CS-2026-005049,2026-03-12 10:45:00,2026-03-12 12:30:00,2026-03-14 09:44:00,Billing Correction,Urgent,TEAM-04,AN-026,Auto-Routed,1.0,Resolved,72,Yes,Incorrect initial routing,No,Mid-Market,Yes,No,No,7.01,1.75,46.98,45.23,Yes,,17,25,20,0,0,62,High
CS-2026-003978,2026-02-02 14:00:00,2026-02-02 15:23:00,2026-02-03 19:08:00,Claims Dispute,Standard,TEAM-01,AN-009,Auto-Routed,0.0,Resolved,72,Yes,External party delay,No,Enterprise,No,No,No,6.68,1.38,29.13,27.75,Yes,,26,11,0,0,0,37,Moderate
CS-2026-011286,2026-01-26 10:00:00,2026-01-26 10:25:00,2026-01-27 20:45:00,Enrollment Change,Standard,TEAM-03,AN-022,Auto-Routed,0.0,Resolved,24,No,Policy exception required,No,Enterprise,Yes,No,No,4.31,0.42,34.75,34.33,No,10.75,9,11,20,0,0,40,Moderate
CS-2026-015208,2026-04-05 12:30:00,2026-04-05 12:50:00,2026-04-06 19:09:00,Billing Correction,High,TEAM-05,AN-031,Auto-Routed,1.0,Resolved,72,Yes,Policy exception required,No,Individual,No,Yes,No,7.89,0.33,30.65,30.32,Yes,,17,19,0,15,0,51,Moderate
CS-2026-002095,2026-01-05 13:30:00,2026-01-05 15:39:00,2026-01-06 04:54:00,Billing Correction,Standard,TEAM-05,AN-028,Auto-Routed,0.0,Resolved,72,Yes,Missing documentation,No,Enterprise,No,No,No,3.01,2.15,15.4,13.25,Yes,,17,11,0,0,0,28,Low
CS-2026-001622,2026-01-25 13:45:00,2026-01-25 15:27:00,2026-02-04 14:23:00,Authorization Review,Standard,TEAM-04,AN-026,Auto-Routed,1.0,Resolved,48,No,Missing documentation,No,Individual,Yes,Yes,No,13.29,1.7,240.63,238.93,No,192.63,22,11,20,15,0,68,High
CS-2026-005954,2026-05-22 07:15:00,2026-05-22 08:25:00,2026-05-24 01:38:00,Billing Correction,High,TEAM-05,AN-028,Auto-Routed,1.0,Resolved,72,Yes,System data gap,No,Small Group,No,No,No,7.51,1.17,42.38,41.22,Yes,,17,19,0,0,0,36,Moderate
CS-2026-007800,2026-06-10 08:00:00,2026-06-10 11:32:00,2026-06-12 17:47:00,Benefits Inquiry,Standard,TEAM-01,AN-005,Manual Triage,0.0,Resolved,48,No,System data gap,No,Small Group,No,No,No,4.25,3.53,57.78,54.25,No,9.78,13,11,0,0,0,24,Low
CS-2026-014154,2026-05-06 07:45:00,2026-05-06 11:41:00,2026-05-07 22:52:00,Billing Correction,Standard,TEAM-05,AN-030,Manual Triage,0.0,Resolved,72,Yes,Complex eligibility,No,Mid-Market,Yes,Yes,No,6.97,3.93,39.12,35.18,Yes,,17,11,20,15,0,63,High
CS-2026-014261,2026-04-20 13:30:00,2026-04-20 14:49:00,2026-04-22 13:08:00,Claims Dispute,Standard,TEAM-02,AN-013,Analyst Self-Select,0.0,Resolved,72,Yes,System data gap,No,Mid-Market,No,No,No,8.07,1.32,47.63,46.32,Yes,,26,11,0,0,0,37,Moderate
CS-2026-006397,2026-06-01 15:30:00,2026-06-01 18:12:00,2026-06-03 10:28:00,Coverage Termination,Standard,TEAM-01,AN-005,Auto-Routed,0.0,Resolved,96,Yes,Missing documentation,No,Small Group,Yes,No,No,10.98,2.7,42.97,40.27,Yes,,30,11,20,0,0,61,High
CS-2026-012741,2026-05-25 07:45:00,2026-05-25 12:12:00,2026-05-26 12:44:00,Enrollment Change,High,TEAM-03,AN-021,Analyst Self-Select,1.0,Resolved,24,No,Complex eligibility,Yes,Small Group,No,No,No,5.91,4.45,28.98,24.53,No,4.98,9,19,0,0,0,28,Low
CS-2026-015189,2026-03-20 15:15:00,2026-03-20 20:45:00,2026-03-22 02:20:00,Enrollment Change,High,TEAM-03,AN-019,Analyst Self-Select,0.0,Resolved,24,No,Policy exception required,No,Mid-Market,Yes,Yes,No,5.43,5.5,35.08,29.58,No,11.08,9,19,20,15,0,63,High
CS-2026-008017,2026-03-12 11:30:00,2026-03-12 11:37:00,2026-03-13 12:32:00,Benefits Inquiry,High,TEAM-01,AN-002,Auto-Routed,0.0,Resolved,48,Yes,Missing documentation,No,Individual,No,No,No,4.25,0.12,25.03,24.92,Yes,,13,19,0,0,0,32,Moderate
CS-2026-014208,2026-04-12 14:00:00,2026-04-12 16:46:00,2026-04-15 13:56:00,Enrollment Change,Standard,TEAM-01,AN-005,Auto-Routed,3.0,Resolved,24,No,No issue identified,No,Enterprise,No,No,No,10.73,2.77,71.93,69.17,No,47.93,9,11,0,0,0,20,Low
CS-2026-006506,2026-05-14 08:45:00,2026-05-14 09:39:00,2026-05-17 16:41:00,Billing Correction,Standard,TEAM-05,AN-028,Manual Triage,0.0,Resolved,72,No,System data gap,No,Mid-Market,Yes,No,No,7.79,0.9,79.93,79.03,No,7.93,17,11,20,0,0,48,Moderate
